,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
4607,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4608,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4609,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4610,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4611,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4612,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4613,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4614,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4615,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4616,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4617,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4618,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4619,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
4620,RDPC 研發製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.15,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,1,1,真的不要被研發兩個字...,可以進來體驗，但是會...
4621,模組副工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.14,全職,臺南,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作項目：pm機台，...,如果缺錢可以來，但基...
4622,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4623,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4624,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4625,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4626,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4627,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4628,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4629,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4630,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4631,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4632,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4633,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4634,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
4635,RDPC 研發製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.15,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,1,1,真的不要被研發兩個字...,可以進來體驗，但是會...
4636,模組副工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.14,全職,臺南,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作項目：pm機台，...,如果缺錢可以來，但基...
4637,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4638,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4639,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4640,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4641,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4642,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4643,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4644,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4645,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4646,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4647,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4648,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4649,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
4650,RDPC 研發製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.15,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,1,1,真的不要被研發兩個字...,可以進來體驗，但是會...
4651,模組副工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.14,全職,臺南,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作項目：pm機台，...,如果缺錢可以來，但基...
4652,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4653,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4654,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4655,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4656,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4657,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4658,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4659,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4660,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4661,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4662,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4663,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4664,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
4665,RDPC 研發製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.15,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,1,1,真的不要被研發兩個字...,可以進來體驗，但是會...
4666,模組副工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.14,全職,臺南,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作項目：pm機台，...,如果缺錢可以來，但基...
4667,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4668,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4669,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4670,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4671,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4672,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4673,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4674,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4675,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4676,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4677,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4678,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4679,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
4680,RDPC 研發製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.15,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,1,1,真的不要被研發兩個字...,可以進來體驗，但是會...
4681,模組副工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.14,全職,臺南,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作項目：pm機台，...,如果缺錢可以來，但基...
4682,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4683,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4684,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4685,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4686,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4687,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4688,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4689,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4690,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4691,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4692,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4693,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4694,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
4695,RDPC 研發製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.15,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,1,1,真的不要被研發兩個字...,可以進來體驗，但是會...
4696,模組副工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.14,全職,臺南,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作項目：pm機台，...,如果缺錢可以來，但基...
4697,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4698,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4699,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4700,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4701,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4702,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4703,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4704,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4705,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4706,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4707,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4708,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4709,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
4710,RDPC 研發製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.15,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,1,1,真的不要被研發兩個字...,可以進來體驗，但是會...
4711,模組副工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.14,全職,臺南,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作項目：pm機台，...,如果缺錢可以來，但基...
4712,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4713,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4714,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4715,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4716,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4717,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4718,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4719,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4720,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4721,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4722,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4723,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4724,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
4725,RDPC 研發製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.15,全職,新北,,,,,,,有苦說不出,常常加班,12 hr,1,1,真的不要被研發兩個字...,可以進來體驗，但是會...
4726,模組副工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.14,全職,臺南,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作項目：pm機台，...,如果缺錢可以來，但基...
4727,設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.22,全職,新竹,,,,,,,有苦說不出,偶爾加班,10 hr,1,7,每天早上開課內晨會，...,鍛鍊精神意志力的地方...
4728,技術員,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.18,全職,臺南,,,,,,,平常心,偶爾加班,10 hr,2,2,"本人為品檢技術員
因...",我訓練員說過句有錢就...
4729,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.14,全職,臺南,,,,,,,有苦說不出,常常加班,14 hr,1,1,工作內容:解hold...,現在新人進來有NTC...
4730,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.13,全職,臺南,,,,,,,還算愉快,偶爾加班,10 hr,5,10,工作期間是2010到...,台積電的薪水基本上算...
4731,工安助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.12,全職,臺南,,,,,,,有苦說不出,常常加班,13 hr,1,4,輪班 做二休二 兩個...,進入台積要維持一個原...
4732,MAE,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.09,全職,臺南,,,,,,,平常心,常常加班,12 hr,1,2,剛進去會有新人培訓課...,總結如果你對機械方面...
4733,校園招募代表,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.07,實習,高雄,,,,,,,還算愉快,很少加班,4 hr,1,1,主要是跟學校進行合作...,建議在老闆下指示時再...
4734,CMP設備工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.04.01,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,5,我入職剛好有跟到NT...,目前考績一年打一次，...
4735,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.28,全職,臺南,,,,,,,有苦說不出,賣肝拼經濟,12 hr,1,1,需輪班，值班的部分包...,"步調節奏快
需要有強..."
4736,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.24,全職,新竹,,,,,,,有苦說不出,常常加班,10 hr,1,1,前兩個月到台中NTC...,交接會議基本上一定超...
4737,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.23,全職,臺中,,,,,,,有苦說不出,賣肝拼經濟,10 hr,8,8,公司環境很好 (伙食...,社會新鮮人如果你覺得...
4738,助理工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.22,全職,臺南,,,,,,,想換工作了,準時上下班,12 hr,1,1,六廠EBO光罩作業員...,"我在六廠作業
職前訓..."
4739,製程工程師,TSMC_台灣積體電路製造股份有限公司（台積電）,2023.03.17,全職,臺南,,,,,,,想換工作了,賣肝拼經濟,13 hr,1,1,產線上的工作，製程上...,真的真的很缺錢的話再...
